id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,POW,POW,POW,POW,0,0,ACH,POW,ACH,POW,POW,POW,ACH,POW,POW
2,AFF,AFF,POW,POW,0,ACH,POW,POW,ACH,POW,POW,POW,0,POW,POW
3,ACH,AFF,POW,POW,POW,ACH,POW,POW,ACH,POW,POW,POW,POW,POW,POW
4,POW,AFF,AFF,0,0,ACH,POW,ACH,ACH,POW,POW,ACH,POW,AFF,POW
5,AFF,AFF,POW,POW,0,ACH,ACH,POW,ACH,AFF,POW,ACH,ACH,0,POW
6,POW,AFF,AFF,POW,0,ACH,POW,POW,ACH,POW,POW,POW,ACH,POW,0
7,AFF,AFF,AFF,POW,0,ACH,POW,POW,ACH,ACH,POW,POW,POW,POW,POW
8,POW,AFF,AFF,POW,0,ACH,ACH,ACH,ACH,POW,0,ACH,ACH,POW,POW
9,POW,POW,POW,POW,0,ACH,ACH,POW,ACH,POW,POW,ACH,POW,POW,POW
10,AFF,AFF,POW,POW,0,ACH,POW,POW,ACH,POW,POW,ACH,ACH,POW,POW
